user_id,kind,id,data
PASTE_YOUR_USER_ID_HERE,trades,trade-2026-09-01-01,"{""userId"": ""PASTE_YOUR_USER_ID_HERE"", ""id"": ""trade-2026-09-01-01"", ""pair"": ""eth"", ""direction"": ""short"", ""leverage"": 5, ""avgPrice"": 4223.19, ""date"": ""2026-09-01"", ""riskReward"": 2, ""strategy"": ""bearish_divergence"", ""reason"": ""Sweep of prior day high with displacement, entered on the retest."", ""pnl"": -120}"
PASTE_YOUR_USER_ID_HERE,trades,trade-2026-09-01-02,"{""userId"": ""PASTE_YOUR_USER_ID_HERE"", ""id"": ""trade-2026-09-01-02"", ""pair"": ""eth"", ""direction"": ""short"", ""leverage"": 5, ""avgPrice"": 4139.64, ""date"": ""2026-09-01"", ""riskReward"": 2.5, ""strategy"": ""bullish_divergence"", ""reason"": ""Trendline touch with bullish engulfing on the 15m."", ""pnl"": -95}"
PASTE_YOUR_USER_ID_HERE,trades,trade-2026-09-03-03,"{""userId"": ""PASTE_YOUR_USER_ID_HERE"", ""id"": ""trade-2026-09-03-03"", ""pair"": ""btc"", ""direction"": ""short"", ""leverage"": 20, ""avgPrice"": 96597.0, ""date"": ""2026-09-03"", ""riskReward"": 1.5, ""strategy"": ""trendline"", ""reason"": ""Bullish divergence on RSI into daily support, small size."", ""pnl"": 130}"
PASTE_YOUR_USER_ID_HERE,trades,trade-2026-09-03-04,"{""userId"": ""PASTE_YOUR_USER_ID_HERE"", ""id"": ""trade-2026-09-03-04"", ""pair"": ""btc"", ""direction"": ""short"", ""leverage"": 3, ""avgPrice"": 97775.9, ""date"": ""2026-09-03"", ""riskReward"": 3.5, ""strategy"": ""sfp"", ""reason"": ""Breakdown retest of the range low, momentum aligned."", ""pnl"": 120}"
PASTE_YOUR_USER_ID_HERE,trades,trade-2026-09-03-05,"{""userId"": ""PASTE_YOUR_USER_ID_HERE"", ""id"": ""trade-2026-09-03-05"", ""pair"": ""btc"", ""direction"": ""long"", ""leverage"": 50, ""avgPrice"": 98578.3, ""date"": ""2026-09-03"", ""riskReward"": 2.5, ""strategy"": ""sfp"", ""reason"": ""SFP of Asia high during London killzone, tight invalidation."", ""pnl"": 120}"
PASTE_YOUR_USER_ID_HERE,trades,trade-2026-09-04-06,"{""userId"": ""PASTE_YOUR_USER_ID_HERE"", ""id"": ""trade-2026-09-04-06"", ""pair"": ""btc"", ""direction"": ""short"", ""leverage"": 20, ""avgPrice"": 100958.9, ""date"": ""2026-09-04"", ""riskReward"": 2.5, ""strategy"": ""bullish_divergence"", ""reason"": ""Trendline break and retest, funding supported the short."", ""pnl"": -140}"
PASTE_YOUR_USER_ID_HERE,trades,trade-2026-09-05-07,"{""userId"": ""PASTE_YOUR_USER_ID_HERE"", ""id"": ""trade-2026-09-05-07"", ""pair"": ""btc"", ""direction"": ""long"", ""leverage"": 25, ""avgPrice"": 101962.5, ""date"": ""2026-09-05"", ""riskReward"": 3, ""strategy"": ""bullish_divergence"", ""reason"": ""Bearish divergence on the 1h into supply, scaled half size."", ""pnl"": -60}"
PASTE_YOUR_USER_ID_HERE,trades,trade-2026-09-05-09,"{""userId"": ""PASTE_YOUR_USER_ID_HERE"", ""id"": ""trade-2026-09-05-09"", ""pair"": ""btc"", ""direction"": ""short"", ""leverage"": 20, ""avgPrice"": 102039.8, ""date"": ""2026-09-05"", ""riskReward"": 2.5, ""strategy"": ""sfp"", ""reason"": ""Sweep of equal lows with strong reclaim, trailed too tight."", ""pnl"": -110}"
PASTE_YOUR_USER_ID_HERE,trades,trade-2026-09-06-08,"{""userId"": ""PASTE_YOUR_USER_ID_HERE"", ""id"": ""trade-2026-09-06-08"", ""pair"": ""btc"", ""direction"": ""short"", ""leverage"": 3, ""avgPrice"": 100830.0, ""date"": ""2026-09-06"", ""riskReward"": 1.5, ""strategy"": ""bearish_divergence"", ""reason"": ""Range high deviation short, first target mid-range."", ""pnl"": 90}"
PASTE_YOUR_USER_ID_HERE,trades,trade-2026-09-07-10,"{""userId"": ""PASTE_YOUR_USER_ID_HERE"", ""id"": ""trade-2026-09-07-10"", ""pair"": ""btc"", ""direction"": ""short"", ""leverage"": 50, ""avgPrice"": 102634.6, ""date"": ""2026-09-07"", ""riskReward"": 2.5, ""strategy"": ""trendline"", ""reason"": ""Trend continuation after news flush, late entry chased."", ""pnl"": 140}"
PASTE_YOUR_USER_ID_HERE,trades,trade-2026-09-07-11,"{""userId"": ""PASTE_YOUR_USER_ID_HERE"", ""id"": ""trade-2026-09-07-11"", ""pair"": ""btc"", ""direction"": ""short"", ""leverage"": 50, ""avgPrice"": 100842.3, ""date"": ""2026-09-07"", ""riskReward"": 3.5, ""strategy"": ""sfp"", ""reason"": ""Bullish divergence plus reclaim of 4h trendline, full size."", ""pnl"": -85}"
PASTE_YOUR_USER_ID_HERE,trades,trade-2026-09-08-12,"{""userId"": ""PASTE_YOUR_USER_ID_HERE"", ""id"": ""trade-2026-09-08-12"", ""pair"": ""btc"", ""direction"": ""short"", ""leverage"": 15, ""avgPrice"": 98339.7, ""date"": ""2026-09-08"", ""riskReward"": 2, ""strategy"": ""bullish_divergence"", ""reason"": ""Range low sweep long, took profit early at mid-range."", ""pnl"": -150}"
PASTE_YOUR_USER_ID_HERE,trades,trade-2026-09-08-13,"{""userId"": ""PASTE_YOUR_USER_ID_HERE"", ""id"": ""trade-2026-09-08-13"", ""pair"": ""eth"", ""direction"": ""long"", ""leverage"": 5, ""avgPrice"": 4251.82, ""date"": ""2026-09-08"", ""riskReward"": 1, ""strategy"": ""sfp"", ""reason"": ""Breakout retest failed, stopped on the wick expansion."", ""pnl"": 110}"
PASTE_YOUR_USER_ID_HERE,trades,trade-2026-09-09-14,"{""userId"": ""PASTE_YOUR_USER_ID_HERE"", ""id"": ""trade-2026-09-09-14"", ""pair"": ""btc"", ""direction"": ""short"", ""leverage"": 50, ""avgPrice"": 96085.8, ""date"": ""2026-09-09"", ""riskReward"": 3.5, ""strategy"": ""trendline"", ""reason"": ""SFP into premium zone, overleveraged and stopped full."", ""pnl"": 95}"
PASTE_YOUR_USER_ID_HERE,trades,trade-2026-09-09-15,"{""userId"": ""PASTE_YOUR_USER_ID_HERE"", ""id"": ""trade-2026-09-09-15"", ""pair"": ""btc"", ""direction"": ""short"", ""leverage"": 20, ""avgPrice"": 94311.4, ""date"": ""2026-09-09"", ""riskReward"": 2.5, ""strategy"": ""bearish_divergence"", ""reason"": ""Sweep of prior day high with displacement, entered on the retest."", ""pnl"": -70}"
PASTE_YOUR_USER_ID_HERE,trades,trade-2026-09-10-16,"{""userId"": ""PASTE_YOUR_USER_ID_HERE"", ""id"": ""trade-2026-09-10-16"", ""pair"": ""eth"", ""direction"": ""long"", ""leverage"": 25, ""avgPrice"": 4188.46, ""date"": ""2026-09-10"", ""riskReward"": 3, ""strategy"": ""bullish_divergence"", ""reason"": ""Trendline touch with bullish engulfing on the 15m."", ""pnl"": -100}"
PASTE_YOUR_USER_ID_HERE,trades,trade-2026-09-10-17,"{""userId"": ""PASTE_YOUR_USER_ID_HERE"", ""id"": ""trade-2026-09-10-17"", ""pair"": ""eth"", ""direction"": ""short"", ""leverage"": 3, ""avgPrice"": 4105.31, ""date"": ""2026-09-10"", ""riskReward"": 1, ""strategy"": ""bullish_divergence"", ""reason"": ""Bullish divergence on RSI into daily support, small size."", ""pnl"": 115}"
PASTE_YOUR_USER_ID_HERE,trades,trade-2026-09-11-18,"{""userId"": ""PASTE_YOUR_USER_ID_HERE"", ""id"": ""trade-2026-09-11-18"", ""pair"": ""btc"", ""direction"": ""long"", ""leverage"": 20, ""avgPrice"": 92812.5, ""date"": ""2026-09-11"", ""riskReward"": 1, ""strategy"": ""sfp"", ""reason"": ""Breakdown retest of the range low, momentum aligned."", ""pnl"": -130}"
PASTE_YOUR_USER_ID_HERE,trades,trade-2026-09-11-19,"{""userId"": ""PASTE_YOUR_USER_ID_HERE"", ""id"": ""trade-2026-09-11-19"", ""pair"": ""btc"", ""direction"": ""long"", ""leverage"": 3, ""avgPrice"": 94510.7, ""date"": ""2026-09-11"", ""riskReward"": 1, ""strategy"": ""trendline"", ""reason"": ""SFP of Asia high during London killzone, tight invalidation."", ""pnl"": -55}"
